,Rk,Year,Team,Lg,G,W,L,Ties,W.L.,pythW.L.,Finish,GB,Playoffs,R,RA,Attendance,BatAge,PAge,X.Bat,X.P,Top.Player,Managers,current
1,1,2016,Arizona Diamondbacks,NL West,162,69,93,0,0.426,0.424,4th of 5,22,,752,890,2036216,26.7,26.4,50,29,J.Segura (5.7),C.Hale (69-93),Arizona Diamondbacks
2,2,2015,Arizona Diamondbacks,NL West,162,79,83,0,0.488,0.504,3rd of 5,13,,720,713,2080145,26.6,27.1,50,27,P.Goldschmidt (8.8),C.Hale (79-83),Arizona Diamondbacks
3,3,2014,Arizona Diamondbacks,NL West,162,64,98,0,0.395,0.415,5th of 5,30,,615,742,2073730,27.6,28,52,25,P.Goldschmidt (4.5),K.Gibson (63-96) and A.Trammell (1-2),Arizona Diamondbacks
4,4,2013,Arizona Diamondbacks,NL West,162,81,81,0,0.5,0.493,2nd of 5,11,,685,695,2134895,28.1,27.6,44,23,P.Goldschmidt (7.1),K.Gibson (81-81),Arizona Diamondbacks
5,5,2012,Arizona Diamondbacks,NL West,162,81,81,0,0.5,0.53,3rd of 5,13,,734,688,2177617,28.3,27.4,48,23,A.Hill (5.0),K.Gibson (81-81),Arizona Diamondbacks
6,6,2011,Arizona Diamondbacks,NL West,162,94,68,0,0.58,0.545,1st of 5,--,Lost LDS (3-2),731,662,2105432,28.2,27.4,51,25,J.Upton (6.1),K.Gibson (94-68),Arizona Diamondbacks
7,7,2010,Arizona Diamondbacks,NL West,162,65,97,0,0.401,0.428,5th of 5,27,,713,836,2056697,26.8,27.9,48,28,C.Young (5.4),A.Hinch (31-48) and K.Gibson (34-49),Arizona Diamondbacks
8,8,2009,Arizona Diamondbacks,NL West,162,70,92,0,0.432,0.462,5th of 5,25,,720,782,2128765,26.5,27.7,45,24,D.Haren (7.1),B.Melvin (12-17) and A.Hinch (58-75),Arizona Diamondbacks
9,9,2008,Arizona Diamondbacks,NL West,162,82,80,0,0.506,0.509,2nd of 5,2,,720,706,2509924,26.7,29.4,41,20,D.Haren (6.6),B.Melvin (82-80),Arizona Diamondbacks
10,10,2007,Arizona Diamondbacks,NL West,162,90,72,0,0.556,0.487,1st of 5,--,Lost NLCS (4-0),712,732,2325249,26.6,28.2,47,26,B.Webb (5.9),B.Melvin (90-72),Arizona Diamondbacks
11,11,2006,Arizona Diamondbacks,NL West,162,76,86,0,0.469,0.491,4th of 5,12,,773,788,2091685,29.6,28.8,45,25,B.Webb (7.0),B.Melvin (76-86),Arizona Diamondbacks
12,12,2005,Arizona Diamondbacks,NL West,162,77,85,0,0.475,0.406,2nd of 5,5,,696,856,2059424,30.3,27.4,43,25,C.Counsell (5.5),B.Melvin (77-85),Arizona Diamondbacks
13,13,2004,Arizona Diamondbacks,NL West,162,51,111,0,0.315,0.333,5th of 5,42,,615,899,2519560,28.9,29.3,52,25,R.Johnson (8.3),B.Brenly (29-50) and A.Pedrique (22-61),Arizona Diamondbacks
14,14,2003,Arizona Diamondbacks,NL West,162,84,78,0,0.519,0.521,3rd of 5,16.5,,717,685,2805542,30.6,29.2,43,22,B.Webb (5.9),B.Brenly (84-78),Arizona Diamondbacks
15,15,2002,Arizona Diamondbacks,NL West,162,98,64,0,0.605,0.588,1st of 5,--,Lost LDS (3-0),819,674,3198977,31.7,31.7,42,20,R.Johnson (10.7),B.Brenly (98-64),Arizona Diamondbacks
16,16,2001,Arizona Diamondbacks,NL West,162,92,70,0,0.568,0.586,1st of 5,--,Won WS (4-3),818,677,2736451,31.9,30.9,47,22,R.Johnson (9.4),B.Brenly (92-70),Arizona Diamondbacks
17,17,2000,Arizona Diamondbacks,NL West,162,85,77,0,0.525,0.522,3rd of 5,12,,792,754,2942251,30.8,31.6,41,17,R.Johnson (8.1),B.Showalter (85-77),Arizona Diamondbacks
18,18,1999,Arizona Diamondbacks,NL West,162,100,62,0,0.617,0.632,1st of 5,--,Lost LDS (3-1),908,676,3019654,30,30.6,43,20,R.Johnson (8.8),B.Showalter (100-62),Arizona Diamondbacks
19,19,1998,Arizona Diamondbacks,NL West,162,65,97,0,0.401,0.41,5th of 5,33,,665,812,3610290,27.8,27.4,46,25,O.Daal (4.1),B.Showalter (65-97),Arizona Diamondbacks
20,1,2016,ATL,NL East,161,68,93,0,0.422,0.417,5th of 5,26.5,,649,779,2020914,28.9,26.4,60,35,F.Freeman (6.5),F.Gonzalez (9-28) and B.Snitker (59-65),ATL
21,2,2015,ATL,NL East,162,67,95,0,0.414,0.374,4th of 5,23,,573,760,2001392,28.8,26.6,60,37,A.Simmons (4.0),F.Gonzalez (67-95),ATL
22,3,2014,ATL,NL East,162,79,83,0,0.488,0.481,2nd of 5,17,,573,597,2354305,26.8,27.3,39,20,J.Heyward (6.2),F.Gonzalez (79-83),ATL
23,4,2013,ATL,NL East,162,96,66,0,0.593,0.603,1st of 5,--,Lost LDS (3-1),688,548,2548679,26.8,27.2,44,21,A.Simmons (7.0),F.Gonzalez (96-66),ATL
24,5,2012,ATL,NL East,162,94,68,0,0.58,0.57,2nd of 5,4,Lost NLWC (1-0),700,600,2420171,28.5,27.6,41,21,M.Bourn (6.1),F.Gonzalez (94-68),ATL
25,6,2011,ATL,NL East,162,89,73,0,0.549,0.526,2nd of 5,13,,641,605,2372940,28.9,28.4,45,21,E.O'Flaherty (3.4),F.Gonzalez (89-73),ATL
26,7,2010,ATL,NL East,162,91,71,0,0.562,0.573,2nd of 5,6,Lost LDS (3-1),738,629,2510119,28.6,30.1,43,21,J.Heyward (6.4),B.Cox (91-71),ATL
27,8,2009,ATL,NL East,162,86,76,0,0.531,0.562,3rd of 5,7,,735,641,2373631,28.8,28.9,45,21,J.Jurrjens (6.8),B.Cox (86-76),ATL
28,9,2008,ATL,NL East,162,72,90,0,0.444,0.485,4th of 5,20,,753,778,2532834,27.2,28.6,49,28,C.Jones (7.3),B.Cox (72-90),ATL
29,10,2007,ATL,NL East,162,84,78,0,0.519,0.546,3rd of 5,5,,810,733,2745207,27.7,29.4,50,28,C.Jones (7.6),B.Cox (84-78),ATL
30,11,2006,ATL,NL East,162,79,83,0,0.488,0.524,3rd of 5,18,,849,805,2550524,27.5,29.4,45,26,J.Smoltz (5.9),B.Cox (79-83),ATL
31,12,2005,ATL,NL East,162,90,72,0,0.556,0.56,1st of 5,--,Lost LDS (3-1),769,674,2521167,28.1,28.6,45,26,A.Jones (6.7),B.Cox (90-72),ATL
32,13,2004,ATL,NL East,162,96,66,0,0.593,0.583,1st of 5,--,Lost LDS (3-2),803,668,2327565,28.9,30.1,39,21,J.Drew (8.3),B.Cox (96-66),ATL
33,14,2003,ATL,NL East,162,101,61,0,0.623,0.592,1st of 5,--,Lost LDS (3-2),907,740,2401084,30.3,31.1,34,17,M.Giles (7.8),B.Cox (101-61),ATL
34,15,2002,ATL,NL East,161,101,59,1,0.631,0.602,1st of 5,--,Lost LDS (3-2),708,565,2603484,30.6,31.1,38,20,A.Jones (6.6),B.Cox (101-59),ATL
35,16,2001,ATL,NL East,162,88,74,0,0.543,0.557,1st of 5,--,Lost NLCS (4-1),729,643,2823530,30.3,31.1,47,23,C.Jones (5.9),B.Cox (88-74),ATL
36,17,2000,ATL,NL East,162,95,67,0,0.586,0.557,1st of 5,--,Lost LDS (3-0),810,714,3234304,30.7,31.4,47,22,A.Jones (8.2),B.Cox (95-67),ATL
37,18,1999,ATL,NL East,162,103,59,0,0.636,0.608,1st of 5,--,Lost WS (4-0),840,661,3284897,29.6,28.6,44,22,A.Jones (7.1),B.Cox (103-59),ATL
38,19,1998,ATL,NL East,162,106,56,0,0.654,0.656,1st of 5,--,Lost NLCS (4-2),826,581,3360860,28.9,29.5,42,19,A.Jones (7.4),B.Cox (106-56),ATL
39,20,1997,ATL,NL East,162,101,61,0,0.623,0.638,1st of 5,--,Lost NLCS (4-2),791,581,3464488,27.9,28.5,38,17,G.Maddux (7.7),B.Cox (101-61),ATL
40,21,1996,ATL,NL East,162,96,66,0,0.593,0.58,1st of 5,--,Lost WS (4-2),773,648,2901242,27.9,27.9,42,18,J.Smoltz (7.7),B.Cox (96-66),ATL
41,22,1995,ATL,NL East,144,90,54,0,0.625,0.581,1st of 5,--,Won WS (4-2),645,540,2561831,27.9,27.4,40,20,G.Maddux (9.6),B.Cox (90-54),ATL
42,23,1994,ATL,NL East,114,68,46,0,0.596,0.586,2nd of 5,6,,542,448,2539240,28.2,27.4,31,13,G.Maddux (8.7),B.Cox (68-46),ATL
43,24,1993,ATL,NL West,162,104,58,0,0.642,0.641,1st of 7,--,Lost NLCS (4-2),767,559,3884720,28.8,26.8,33,13,R.Gant (6.5),B.Cox (104-58),ATL
44,25,1992,ATL,NL West,162,98,64,0,0.605,0.582,1st of 6,--,Lost WS (4-2),682,569,3077400,28.4,27.5,41,19,T.Pendleton (4.9),B.Cox (98-64),ATL
45,26,1991,ATL,NL West,162,94,68,0,0.58,0.569,1st of 6,--,Lost WS (4-3),749,644,2140217,28,27.1,43,20,T.Glavine (9.3),B.Cox (94-68),ATL
46,27,1990,ATL,NL West,162,65,97,0,0.401,0.416,6th of 6,26,,682,821,980129,27.4,25.8,46,23,R.Gant (5.5),R.Nixon (25-40) and B.Cox (40-57),ATL
47,28,1989,ATL,NL West,161,63,97,1,0.394,0.431,6th of 6,28,,584,680,984930,28.1,25.4,46,23,L.Smith (8.8),R.Nixon (63-97),ATL
48,29,1988,ATL,NL West,160,54,106,0,0.338,0.371,6th of 6,39.5,,555,741,848089,28.9,27.4,40,19,P.Smith (3.2),C.Tanner (12-27) and R.Nixon (42-79),ATL
49,30,1987,ATL,NL West,161,69,92,0,0.429,0.452,5th of 6,20.5,,747,829,1217402,29.6,29.2,41,20,D.Murphy (7.7),C.Tanner (69-92),ATL
50,31,1986,ATL,NL West,161,72,89,0,0.447,0.429,6th of 6,23.5,,615,719,1387181,29.7,28.9,36,16,D.Palmer (3.7),C.Tanner (72-89),ATL
51,32,1985,ATL,NL West,162,66,96,0,0.407,0.404,5th of 6,29,,632,781,1350137,28.1,28.8,33,14,D.Murphy (5.0),E.Haas (50-71) and B.Wine (16-25),ATL
52,33,1984,ATL,NL West,162,80,82,0,0.494,0.484,2nd of 6,12,,632,655,1724892,27.8,28.4,38,15,D.Murphy (5.5),J.Torre (80-82),ATL
53,34,1983,ATL,NL West,162,88,74,0,0.543,0.57,2nd of 6,3,,746,640,2119935,27.7,29.2,40,17,D.Murphy (7.1),J.Torre (88-74),ATL
54,35,1982,ATL,NL West,162,89,73,0,0.549,0.523,1st of 6,--,Lost NLCS (3-0),739,702,1801985,26.9,29.4,39,17,D.Murphy (6.1),J.Torre (89-73),ATL
55,36,1981,ATL,NL West,107,50,56,1,0.472,0.476,5th of 6,15,,395,416,535418,26.5,31.5,40,16,R.Camp (2.7),B.Cox (50-56),ATL
56,37,1980,ATL,NL West,161,81,80,0,0.503,0.479,4th of 6,11,,630,660,1048411,26.8,29.6,32,11,D.Murphy (6.5),B.Cox (81-80),ATL
57,38,1979,ATL,NL West,160,66,94,0,0.413,0.44,6th of 6,23.5,,669,763,769465,26.4,28.9,38,17,P.Niekro (8.0),B.Cox (66-94),ATL
58,39,1978,ATL,NL West,162,69,93,0,0.426,0.399,6th of 6,26,,600,750,904494,25.6,28.2,42,18,P.Niekro (10.4),B.Cox (69-93),ATL
59,40,1977,ATL,NL West,162,61,101,0,0.377,0.376,6th of 6,37,,678,895,872464,25.8,28.4,42,22,P.Niekro (8.4),"D.Bristol (60-100), T.Turner (0-1) and V.Benson (1-0)",ATL
60,41,1976,ATL,NL West,162,70,92,0,0.432,0.445,6th of 6,32,,620,700,818179,27.8,29.1,43,18,P.Niekro (6.8),D.Bristol (70-92),ATL
61,42,1975,ATL,NL West,161,67,94,0,0.416,0.393,5th of 6,40.5,,583,739,534672,27.2,29.5,40,19,P.Niekro (6.6),C.King (58-76) and C.Ryan (9-18),ATL
62,43,1974,ATL,NL West,163,88,74,1,0.543,0.573,3rd of 6,14,,661,563,981085,28.1,29.5,36,15,P.Niekro (8.0),E.Mathews (50-49) and C.King (38-25),ATL
63,44,1973,ATL,NL West,162,76,85,1,0.472,0.515,5th of 6,22.5,,799,774,800655,28,28.2,43,21,D.Evans (9.0),E.Mathews (76-85),ATL
64,45,1972,ATL,NL West,155,70,84,1,0.455,0.432,4th of 6,25,,628,730,752973,27.2,28.2,36,17,P.Niekro (5.7),L.Harris (47-57) and E.Mathews (23-27),ATL
65,46,1971,ATL,NL West,162,82,80,0,0.506,0.462,3rd of 6,8,,643,699,1006320,27.2,28.5,35,14,H.Aaron (7.2),L.Harris (82-80),ATL
66,47,1970,ATL,NL West,162,76,86,0,0.469,0.478,5th of 6,26,,736,772,1078848,29.5,28.7,37,17,R.Carty (5.8),L.Harris (76-86),ATL
67,48,1969,ATL,NL West,162,93,69,0,0.574,0.541,1st of 6,--,Lost NLCS (3-0),691,631,1458320,29.1,27.5,39,18,H.Aaron (8.0),L.Harris (93-69),ATL
68,49,1968,ATL,NL,163,81,81,1,0.5,0.47,5th of 10,16,,514,549,1126540,28.7,27.5,38,17,H.Aaron (6.8),L.Harris (81-81),ATL
69,50,1967,ATL,NL,162,77,85,0,0.475,0.494,7th of 10,24.5,,631,640,1389222,28.6,28.1,41,18,H.Aaron (8.5),B.Hitchcock (77-82) and K.Silvestri (0-3),ATL
70,51,1966,ATL,NL,163,85,77,1,0.525,0.562,5th of 10,10,,782,683,1539801,28.2,27.9,44,21,H.Aaron (7.8),B.Bragan (52-59) and B.Hitchcock (33-18),ATL
71,52,1965,Milwaukee Braves,NL,162,86,76,0,0.531,0.551,5th of 10,11,,708,633,555584,28,26.5,37,14,H.Aaron (7.8),B.Bragan (86-76),ATL
72,53,1964,Milwaukee Braves,NL,162,88,74,0,0.543,0.535,5th of 10,5,,803,744,910911,27.5,27.9,42,19,H.Aaron (6.8),B.Bragan (88-74),ATL
73,54,1963,Milwaukee Braves,NL,163,84,78,1,0.519,0.553,6th of 10,15,,677,603,773018,27.6,28.1,37,14,H.Aaron (9.1),B.Bragan (84-78),ATL
74,55,1962,Milwaukee Braves,NL,162,86,76,0,0.531,0.543,5th of 10,15.5,,730,665,766921,28.1,28.9,37,16,H.Aaron (8.5),B.Tebbetts (86-76),ATL
75,56,1961,Milwaukee Braves,NL,155,83,71,1,0.539,0.537,4th of 8,10,,712,656,1101441,28.8,30.8,40,16,H.Aaron (9.4),C.Dressen (71-58) and B.Tebbetts (12-13),ATL
76,57,1960,Milwaukee Braves,NL,154,88,66,0,0.571,0.544,2nd of 8,7,,724,658,1497799,30,30.4,36,14,H.Aaron (8.0),C.Dressen (88-66),ATL
77,58,1959,Milwaukee Braves,NL,157,86,70,1,0.551,0.568,2nd of 8,2,,724,623,1749112,29.5,30.2,37,11,H.Aaron (8.6),F.Haney (86-70),ATL
78,59,1958,Milwaukee Braves,NL,154,92,62,0,0.597,0.6,1st of 8,--,Lost WS (4-3),675,541,1971101,28.7,29.9,35,13,H.Aaron (7.3),F.Haney (92-62),ATL
79,60,1957,Milwaukee Braves,NL,155,95,59,1,0.617,0.604,1st of 8,--,Won WS (4-3),772,613,2215404,28,29,39,14,H.Aaron (8.0),F.Haney (95-59),ATL
80,61,1956,Milwaukee Braves,NL,155,92,62,1,0.597,0.599,2nd of 8,1,,709,569,2046331,27.5,28.6,33,14,H.Aaron (7.1),C.Grimm (24-22) and F.Haney (68-40),ATL
81,62,1955,Milwaukee Braves,NL,154,85,69,0,0.552,0.549,2nd of 8,13.5,,743,668,2005836,27.2,27.2,32,15,E.Mathews (7.3),C.Grimm (85-69),ATL
82,63,1954,Milwaukee Braves,NL,154,89,65,0,0.578,0.585,3rd of 8,8,,670,556,2131388,26.5,27.4,31,13,E.Mathews (7.8),C.Grimm (89-65),ATL
83,64,1953,Milwaukee Braves,NL,157,92,62,3,0.597,0.602,2nd of 8,13,,738,589,1826397,27.5,28.1,31,13,W.Spahn (9.1),C.Grimm (92-62),ATL
84,65,1952,Boston Braves,NL,155,64,89,2,0.418,0.439,7th of 8,32,,569,651,281278,28.7,28.8,34,14,W.Spahn (7.1),T.Holmes (13-22) and C.Grimm (51-67),ATL
85,66,1951,Boston Braves,NL,155,76,78,1,0.494,0.54,4th of 8,20.5,,723,662,487475,30,28,33,15,W.Spahn (8.0),B.Southworth (28-31) and T.Holmes (48-47),ATL
86,67,1950,Boston Braves,NL,156,83,71,2,0.539,0.529,4th of 8,8,,785,736,944391,29.3,28.6,35,16,S.Gordon (6.3),B.Southworth (83-71),ATL
87,68,1949,Boston Braves,NL,157,75,79,3,0.487,0.492,4th of 8,22,,706,719,1081795,29.9,28.9,34,12,W.Spahn (5.6),B.Southworth (55-54) and J.Cooney (20-25),ATL
88,69,1948,Boston Braves,NL,154,91,62,1,0.595,0.606,1st of 8,--,Lost WS (4-2),739,584,1455439,29.6,29.6,35,16,J.Sain (8.5),B.Southworth (91-62),ATL
89,70,1947,Boston Braves,NL,154,86,68,0,0.558,0.552,3rd of 8,8,,701,626,1277361,29.5,30.4,34,17,W.Spahn (9.3),B.Southworth (86-68),ATL
90,71,1946,Boston Braves,NL,154,81,72,1,0.529,0.528,4th of 8,15.5,,630,592,969673,29.5,30.9,48,21,J.Sain (7.8),B.Southworth (81-72),ATL
91,72,1945,Boston Braves,NL,154,67,85,2,0.441,0.496,6th of 8,30,,721,728,374178,28.8,30.8,42,22,T.Holmes (8.0),B.Coleman (42-51) and D.Bissonette (25-34),ATL
92,73,1944,Boston Braves,NL,155,65,89,1,0.422,0.442,6th of 8,40,,593,674,208691,27.7,29,37,14,J.Tobin (6.3),B.Coleman (65-89),ATL
93,74,1943,Boston Braves,NL,153,68,85,0,0.444,0.377,6th of 8,36.5,,465,612,271289,26.9,28.2,37,18,N.Andrews (5.0),B.Coleman (21-25) and C.Stengel (47-60),ATL
94,75,1942,Boston Braves,NL,150,59,89,2,0.399,0.398,7th of 8,44,,515,645,285332,27.1,26.6,34,15,E.Lombardi (3.9),C.Stengel (59-89),ATL
95,76,1941,Boston Braves,NL,156,62,92,2,0.403,0.411,7th of 8,38,,592,720,263680,27.7,26.2,39,15,J.Tobin (4.3),C.Stengel (62-92),ATL
96,77,1940,Boston Bees,NL,152,65,87,0,0.428,0.419,7th of 8,34.5,,623,745,241616,26.3,28.1,41,17,E.Miller (4.8),C.Stengel (65-87),ATL
97,78,1939,Boston Bees,NL,152,63,88,1,0.417,0.436,7th of 8,32.5,,572,659,285994,28.4,31.1,39,15,M.West (4.6),C.Stengel (63-88),ATL
98,79,1938,Boston Bees,NL,153,77,75,1,0.507,0.456,5th of 8,12,,561,618,341149,28.6,30.4,39,17,L.Fette (3.5),C.Stengel (77-75),ATL
99,80,1937,Boston Bees,NL,152,79,73,0,0.52,0.519,5th of 8,16,,579,556,385339,28.2,30.8,30,12,J.Turner (6.1),B.McKechnie (79-73),ATL
100,81,1936,Boston Bees,NL,157,71,83,3,0.461,0.443,6th of 8,21,,631,715,340585,28.9,30.8,37,20,T.Cuccinello (5.7),B.McKechnie (71-83),ATL
101,82,1935,Boston Braves,NL,153,38,115,0,0.248,0.327,8th of 8,61.5,,575,852,232754,29.3,33.2,31,11,W.Berger (5.7),B.McKechnie (38-115),ATL
102,83,1934,Boston Braves,NL,152,78,73,1,0.517,0.48,4th of 8,16,,683,714,303205,29.2,32.3,29,12,W.Berger (5.1),B.McKechnie (78-73),ATL
103,84,1933,Boston Braves,NL,156,83,71,2,0.539,0.518,4th of 8,9,,552,531,517803,29.3,32,31,11,W.Berger (6.8),B.McKechnie (83-71),ATL
104,85,1932,Boston Braves,NL,155,77,77,1,0.5,0.496,5th of 8,13,,649,655,507606,29.7,30.2,30,11,H.Betts (4.8),B.McKechnie (77-77),ATL
105,86,1931,Boston Braves,NL,156,64,90,2,0.416,0.39,7th of 8,37,,533,680,515005,30.3,30.2,32,11,E.Brandt (6.1),B.McKechnie (64-90),ATL
106,87,1930,Boston Braves,NL,154,70,84,0,0.455,0.416,6th of 8,22,,693,835,464835,29.6,30.9,32,12,B.Smith (4.6),B.McKechnie (70-84),ATL
107,88,1929,Boston Braves,NL,154,56,98,0,0.364,0.371,8th of 8,43,,657,876,372351,30.6,29.7,43,15,S.Seibold (3.1),J.Fuchs (56-98),ATL
108,89,1928,Boston Braves,NL,153,50,103,0,0.327,0.353,7th of 8,44.5,,631,878,227001,29.8,28.3,42,21,R.Hornsby (8.8),J.Slattery (11-20) and R.Hornsby (39-83),ATL
109,90,1927,Boston Braves,NL,155,60,94,1,0.39,0.423,7th of 8,34,,651,771,288685,29.8,29,36,15,B.Smith (3.5),D.Bancroft (60-94),ATL
110,91,1926,Boston Braves,NL,153,66,86,1,0.434,0.436,7th of 8,22,,624,719,303598,28.6,28.4,31,12,D.Bancroft (4.1),D.Bancroft (66-86),ATL
111,92,1925,Boston Braves,NL,153,70,83,0,0.458,0.443,5th of 8,25,,708,802,313528,28,27.9,38,15,D.Bancroft (5.1),D.Bancroft (70-83),ATL
112,93,1924,Boston Braves,NL,154,53,100,1,0.346,0.314,8th of 8,40,,520,798,177478,29.1,26.6,39,15,J.Barnes (5.2),D.Bancroft (53-100),ATL
113,94,1923,Boston Braves,NL,155,54,100,1,0.351,0.398,7th of 8,41.5,,636,798,227802,29.4,29.1,33,12,J.Genewich (4.1),F.Mitchell (54-100),ATL
114,95,1922,Boston Braves,NL,154,53,100,1,0.346,0.357,8th of 8,39.5,,596,822,167965,29.3,28.7,33,16,F.Miller (2.6),F.Mitchell (53-100),ATL
115,96,1921,Boston Braves,NL,153,79,74,0,0.516,0.515,4th of 8,15,,721,697,318627,28.1,26.5,26,12,J.Oeschger (4.9),F.Mitchell (79-74),ATL
116,97,1920,Boston Braves,NL,153,62,90,1,0.408,0.389,7th of 8,30,,523,670,162483,27.9,26.9,30,12,J.Oeschger (3.0),G.Stallings (62-90),ATL
117,98,1919,Boston Braves,NL,140,57,82,1,0.41,0.413,6th of 8,38.5,,465,563,167401,28.6,28,39,13,D.Rudolph (4.8),G.Stallings (57-82),ATL
118,99,1918,Boston Braves,NL,124,53,71,0,0.427,0.454,7th of 8,28.5,,424,469,84938,29.1,28.4,37,14,R.Smith (3.7),G.Stallings (53-71),ATL
119,100,1917,Boston Braves,NL,157,72,81,4,0.471,0.487,6th of 8,25.5,,536,552,174253,27.8,27.5,34,11,R.Maranville (4.5),G.Stallings (72-81),ATL
120,101,1916,Boston Braves,NL,158,89,63,6,0.586,0.581,3rd of 8,4,,542,453,313495,27.9,27.9,28,9,R.Maranville (5.2),G.Stallings (89-63),ATL
121,102,1915,Boston Braves,NL,157,83,69,5,0.546,0.53,2nd of 8,7,,582,545,376283,27.5,27.2,34,13,S.Magee (4.8),G.Stallings (83-69),ATL
122,103,1914,Boston Braves,NL,158,94,59,5,0.614,0.582,1st of 8,--,Won WS (4-0),657,548,382913,25.7,25.2,34,12,B.James (8.7),G.Stallings (94-59),ATL
123,104,1913,Boston Braves,NL,154,69,82,3,0.457,0.466,5th of 8,31.5,,641,690,208000,26.2,27.7,46,13,D.Rudolph (4.7),G.Stallings (69-82),ATL
124,105,1912,Boston Braves,NL,155,52,101,2,0.34,0.397,8th of 8,52,,693,871,121000,27.4,29.3,37,14,B.Sweeney (5.3),J.Kling (52-101),ATL
125,106,1911,Boston Rustlers,NL,156,44,107,5,0.291,0.333,8th of 8,54,,699,1021,116000,27.8,27.5,43,18,B.Herzog (2.5),F.Tenney (44-107),ATL
126,107,1910,Boston Doves,NL,157,53,100,4,0.346,0.346,8th of 8,50.5,,495,701,149027,26.5,26.8,35,12,B.Brown (3.9),F.Lake (53-100),ATL
127,108,1909,Boston Doves,NL,155,45,108,2,0.294,0.305,8th of 8,65.5,,435,683,195188,27,25.9,38,15,C.Curtis (3.5),F.Bowerman (22-54) and H.Smith (23-54),ATL
128,109,1908,Boston Doves,NL,156,63,91,2,0.409,0.433,6th of 8,36,,537,622,253750,30.8,28.3,30,13,B.Dahlen (5.2),J.Kelley (63-91),ATL
129,110,1907,Boston Doves,NL,152,58,90,4,0.392,0.383,7th of 8,47,,502,652,203221,28.4,28.2,29,10,D.Brain (4.9),F.Tenney (58-90),ATL
130,111,1906,Boston Beaneaters,NL,152,49,102,1,0.325,0.3,8th of 8,66.5,,408,649,143280,27.5,26.9,24,9,V.Lindaman (3.3),F.Tenney (49-102),ATL
131,112,1905,Boston Beaneaters,NL,156,51,103,2,0.331,0.306,7th of 8,54.5,,468,733,150003,28.5,28.7,23,10,I.Young (8.0),F.Tenney (51-103),ATL
132,113,1904,Boston Beaneaters,NL,155,55,98,2,0.359,0.316,7th of 8,51,,491,749,140694,27.6,27.6,24,8,T.Pittinger (3.8),A.Buckenberger (55-98),ATL
133,114,1903,Boston Beaneaters,NL,140,58,80,2,0.42,0.414,6th of 8,32,,578,699,143155,27.6,29.1,17,7,V.Willis (5.9),A.Buckenberger (58-80),ATL
134,115,1902,Boston Beaneaters,NL,142,73,64,5,0.533,0.547,3rd of 8,29,,572,516,116960,28.7,27,21,10,V.Willis (8.1),A.Buckenberger (73-64),ATL
135,116,1901,Boston Beaneaters,NL,140,69,69,2,0.5,0.479,5th of 8,20.5,,531,556,146502,29.6,27.4,25,5,V.Willis (8.7),F.Selee (69-69),ATL
136,117,1900,Boston Beaneaters,NL,142,66,72,4,0.478,0.524,4th of 8,17,,778,739,202000,29.7,26.5,21,8,B.Dinneen (6.8),F.Selee (66-72),ATL
137,118,1899,Boston Beaneaters,NL,153,95,57,1,0.625,0.628,2nd of 12,8,,858,645,200384,29.4,26.3,27,12,V.Willis (10.1),F.Selee (95-57),ATL
138,119,1898,Boston Beaneaters,NL,152,102,47,3,0.685,0.655,1st of 12,--,,872,614,229275,28.5,25.6,22,7,K.Nichols (11.1),F.Selee (102-47),ATL
139,120,1897,Boston Beaneaters,NL,135,93,39,3,0.705,0.688,1st of 12,--,,1025,665,334800,28.1,26.4,20,7,K.Nichols (11.2),F.Selee (93-39),ATL
140,121,1896,Boston Beaneaters,NL,132,74,57,1,0.565,0.558,4th of 12,17,,865,761,240000,28.1,26.8,22,8,K.Nichols (6.8),F.Selee (74-57),ATL
141,122,1895,Boston Beaneaters,NL,132,71,60,1,0.542,0.543,6th of 12,16.5,,911,829,242000,28.2,25.2,22,9,K.Nichols (9.7),F.Selee (71-60),ATL
142,123,1894,Boston Beaneaters,NL,133,83,49,1,0.629,0.589,3rd of 12,8,,1220,1002,152800,27.5,25.7,22,12,K.Nichols (8.2),F.Selee (83-49),ATL
143,124,1893,Boston Beaneaters,NL,131,86,43,2,0.667,0.607,1st of 12,--,,1008,795,193300,28.3,24.9,18,7,K.Nichols (11.5),F.Selee (86-43),ATL
144,125,1892,Boston Beaneaters,NL,152,102,48,2,0.68,0.627,1st of 12,--,Won Series (5-0-1),862,649,146421,27.6,24.2,19,7,K.Nichols (9.2),F.Selee (102-48),ATL
145,126,1891,Boston Beaneaters,NL,140,87,51,2,0.63,0.614,1st of 8,--,,847,658,184472,27.2,25.1,22,10,J.Clarkson (9.8),F.Selee (87-51),ATL
146,127,1890,Boston Beaneaters,NL,134,76,57,1,0.571,0.613,5th of 8,12,,763,593,147539,27.1,24.4,19,6,K.Nichols (13.2),F.Selee (76-57),ATL
147,128,1889,Boston Beaneaters,NL,133,83,45,5,0.648,0.624,2nd of 8,1,,826,626,,28.9,27.3,17,6,J.Clarkson (16.1),J.Hart (83-45),ATL
148,129,1888,Boston Beaneaters,NL,137,70,64,3,0.522,0.535,4th of 8,15.5,,669,619,,27.7,25.5,24,5,B.Nash (5.3),J.Morrill (70-64),ATL
149,130,1887,Boston Beaneaters,NL,127,61,60,6,0.504,0.524,5th of 8,16.5,,834,792,,27.7,24.9,16,5,S.Wise (4.7),K.Kelly (49-43) and J.Morrill (12-17),ATL
